created_at,department,from,id,priority,request,status
2026-07-08T03:37:41,Engineering,analytics,58f63694,P2,[Async] Complete P2 agent prompt audit (e27034e7). Non-blocking for GTM but improves sales/support output quality. Estimate: 2–3h. Schedule after email deployment is live.,open
2026-07-08T03:37:41,Marketing,analytics,e6608f94,P0,"[URGENT] P1 request f28531fb is 2+ hours old. Deploy day-0 e-commerce seller email + 4-touch LinkedIn cadence to 176 leads immediately. GTM templates pre-approved. Target: 25+ emails sent by EOD today, auto-sequence active by 2026-07-09 06:00 UTC. This unblocks conversion clock and first revenue.",open
2026-07-08T03:37:26,Marketing,sales,f28531fb,P1,"[P1] Activate e-commerce seller targeting in email/LinkedIn outreach queue. GTM templates approved. Ready to deploy cold sequence to 176 leads (segment: e-commerce, $10K–$100K/mo). Deploy day 0 email + LinkedIn cadence starting 2026-07-09.",open
2026-07-07T16:12:53,Engineering,director,e27034e7,P2,"[P2] Audit and update domain-specific agent prompts (Finance, Accounting, HR, Product) to include mandatory output sections: Finance → PRICING RECOMMENDATION (tiers + anchor logic); Accounting → COMMON ERRORS TO CATCH + CPA REVIEW FLAGS; HR → POLICY UPDATES (e.g., remote work, AI training); Product → FEA",open
2026-07-07T16:12:53,Engineering,director,60d199d7,P2,"[P2] Deploy a lightweight Engineering Task Queue (GitHub Issues or Notion table): (1) every cross-dept request targeting Engineering is auto-logged with ID, priority, dependencies; (2) Fullstack/Backend/Frontend agents validate queue state before starting work; (3) daily dashboard widget shows queue dept",open
2026-07-07T00:30:10,Compliance,documentation,cd28fba1,P2,"Supply completed audits, lead opt-in verification, CAN-SPAM checklist sign-off, and any process docs finalized.",open
2026-07-07T00:30:10,Marketing,documentation,26d3e187,P1,"Supply completed work: email sequences deployed, nurture cadence status, analytics (open/click/unsubscribe rates for 176 leads). Confirm live sequences.",open
2026-07-07T00:30:10,Engineering,documentation,c93668fc,P1,"Supply list of completed tasks (last 7 days): GitHub Actions deployed, API changes, infra updates, config files added. Include task IDs and brief outcomes.",open
2026-07-07T00:29:59,Engineering,analytics,390fa9b9,P2,"Resolve 2 pending cross-dept approvals (Compliance sign-off + DevOps GitHub Actions alert). Low-lift, required for monitoring visibility.",open
2026-07-07T00:29:59,Marketing,analytics,c9a9e370,P1,"Confirm email nurture cadence is running. Check: open rate, click rate, unsubscribe rate for the 176 leads. Are sequences deployed?",open
2026-07-07T00:29:59,Sales,analytics,78e2a43f,P1,Audit lead scoring: reconcile 176 total leads vs. $88K pipeline value. What % are MQL (qualified) vs. unqualified? By source?,open
2026-07-07T00:29:41,Engineering,compliance,1f78effb,P2,"Compliance sign-off on GitHub Actions failure alert (DevOps request 3abb73cb): confirm Slack webhook does not expose PII in logs or alert payload. Low-lift, required before deployment.",open
2026-07-07T00:28:39,Engineering,devops,3abb73cb,P2,"Add GitHub Actions failure alert (Slack webhook to COO on 2+ failures in 24h). Low lift, high visibility.",open
